Transaction Date,Description,Amount,Category,Transaction ID
08/21/2025,CATHCART,17.29,Uncategorized,fd397888-05c0-4726-9ec4-56cc6a86d922
08/19/2025,AGENCE DE MOBILITE DURABL,4.57,Travel,aaa8a92e-e497-4e81-bd9f-7eb4c9a65be5
10/18/2025,CHIPOTLE #2922,14.07,Food & Drink,7e1e3258-c053-486b-9df0-c1b1a2de6632
10/18/2025,FAMOUS PLAYER 7422QPS,10.16,Entertainment,d183ce51-0ae7-44b6-8112-7f94f0ada3a5
10/18/2025,BOUNCE* TICKET,6.47,Entertainment,9bed18ab-24fa-4f7d-b1c5-a56e96aae253
10/18/2025,REXALL PHARMACY #1727,59.05,Health & Wellness,b50a3c32-6fb9-4c2f-bf4a-4a4f41ea7238
10/16/2025,WESTERN PARKING SERVICES,35.0,Travel,d29ca3e0-bdad-453e-ac12-5b38ccf68d07
10/16/2025,MILES VARIETY,7.49,Shopping,97aec6d7-9a08-49e4-a29f-354f34c4ed7d
10/14/2025,IVEY BUSINESS SCHOOL,11.96,Personal,bf4c0fec-b1fe-4e48-b651-7c3af5e6c183
10/14/2025,IVEY STARBUCKS,4.8,Food & Drink,0dbf5f04-57ff-474a-9510-6f0b0a52b27c
10/11/2025,SHELL C02385,61.06,Travel,ed52599b-7a12-4936-aa1e-8669d5cb7799
10/10/2025,METRO LONDON  118,6.98,Groceries,064fb918-d89c-47de-84a3-f94ed479127a
10/10/2025,MECP-ONTPARK-INT-RESER,-33.29,Entertainment,bbbf071c-29e2-46c5-863b-03bb4e16c276
10/10/2025,FRESHCO #9755,71.01,Groceries,90d6b518-5d76-4b8f-89a4-8126cf5e2e51
10/08/2025,PETE'S SPORTS,10.0,Shopping,db1f4429-5b97-476a-b0f2-e12969ccdf71
10/08/2025,PETE'S SPORTS,3.38,Shopping,c066638f-dab3-4820-843e-778cc51a9f24
10/07/2025,MILES VARIETY,5.19,Shopping,cf5d559b-3185-4f00-8601-044de588ed48
10/07/2025,UNVRS* LAST CALL: 2...,15.45,Shopping,fe051a55-eb69-4ea3-9005-f0fe4708a48f
10/07/2025,RISB FOUNDATION,90.4,Personal,f308868e-b85f-4ef9-a128-2437f02fab4a
10/07/2025,RISB FOUNDATION,-100.0,Personal,803a57b7-7593-4e53-8217-f95b96af162a
10/07/2025,RISB FOUNDATION,-165.55,Personal,d9353f94-858b-4809-821f-46253cf947bb
10/07/2025,Store,13.55,Shopping,3ed092ed-8781-40cf-8c81-e7346ee2557d
10/06/2025,PAYMENT - THANK YOU,-1438.4,Uncategorized,630fb1d6-6dab-4118-95e4-ef9aacc4bf96
10/05/2025,MECP-ONTPARK-INT-RESER,98.57,Entertainment,17830783-a5a1-4092-ad83-bfc41dc268f9
10/04/2025,PLAY IT AGAIN SPORTS L,1096.0,Shopping,7ea7f3a9-e1ac-41a1-96eb-96adae12dc3c
10/03/2025,RISB FOUNDATION,389.85,Personal,20d95d41-48ad-40c5-a5d1-b70d3045e57a
10/03/2025,UBER CANADA/UBERTRIP,9.94,Travel,a4829935-7d81-4900-a2fd-2337b5d80ca6
10/03/2025,FRESHCO #9755,131.82,Groceries,5fc98e15-5a53-4585-98bd-5116fd71cfe5
10/02/2025,BURTS BAR & GRILL,39.81,Food & Drink,63b8f4a5-7aad-4b99-9869-ee00260209bb
10/01/2025,MILES VARIETY,3.27,Shopping,3f02ef65-18f5-48ee-8133-b0ffc7e59e43
10/01/2025,DREW'S YIG 7924,6.86,Groceries,03726aa8-1ad2-4cb3-ac13-f371fb37e2b8
09/30/2025,CAD SODA SNACK VENDING,3.75,Food & Drink,606f40cc-2604-4a1f-9e4c-396fc83eafa2
09/29/2025,HONK PARKING,6.35,Travel,0c6c8642-799b-42dc-95d6-91da695f66e4
09/29/2025,IVEY BUSINESS SCHOOL,11.29,Personal,e8b5e207-10a2-4167-aeb6-a0676c45bc5f
09/29/2025,IVEY BUSINESS SCHOOL,1.04,Personal,21db22be-748e-4ad7-a810-1f1700a3c6b0
09/29/2025,IVEY BUSINESS SCHOOL,1.56,Personal,d03e136d-8db1-4aa3-a1b2-0daaab15e33c
09/27/2025,DREW'S YIG 7924,8.46,Groceries,956d9242-846d-42b5-9028-37e4381da8d8
09/26/2025,RISB FOUNDATION,33.9,Personal,709373ee-4f5a-4b4a-934a-d9a490ec497d
09/26/2025,HONK PARKING,3.1,Travel,31c77bd4-6bcb-4143-8437-1a4853ed55a9
09/26/2025,CEEPS-BARNEYS LIMITED,9.9,Uncategorized,f1ebcb7c-9c2a-4445-acc3-538df1ee7056
09/25/2025,UWO RECREATION SERVICES,10.0,Health & Wellness,127645b3-1afd-4715-bd8b-38fb483e64f8
09/25/2025,WESTERN PARKING SERVICES,35.0,Travel,6f208bbd-602c-4b99-b9c1-784cc25e7707
09/25/2025,DELILAH'S,18.85,Uncategorized,ded3d84f-16a2-471f-8839-6451d0568f08
09/25/2025,BURGER BURGER,10.38,Food & Drink,3cd2e5d9-0ad7-4b8c-8205-56182dee1767
09/24/2025,EVENTBRITE,-40.0,Entertainment,bc25f2d4-ebd0-4ad4-9899-116a8fa96d1d
09/24/2025,IVEY BUSINESS SCHOOL,11.29,Personal,cda671cf-3158-48d6-8548-fbb20bc14675
09/23/2025,FRESHCO #9755,143.97,Groceries,bcd76905-cbfe-4f72-8ac8-d814af3b6578
09/21/2025,HORNBY ESSO,30.45,Travel,a7837d20-83fe-40ae-a40a-4a36f3abbdf0
09/21/2025,SHELL C85301,38.89,Travel,ff0139bb-9bba-4095-82c4-d837b02e40ea
